,ID,URL,小区名称,城市,区域,片区,参考均价,建筑年代,总栋数,总户数,开发商,物业费,物业公司,建筑类型,地址
0,3011054502305,http://cd.lianjia.com/xiaoqu/3011054502305,河滨佳苑,成都,锦江,三官堂,10440,1998年建成,4栋,253户,无开发商,暂无信息,业主自筹物业,塔楼/板楼,(锦江三官堂)龙舟东巷19号
0,1611043135059,http://cd.lianjia.com/xiaoqu/1611043135059,江东名居,成都,锦江,莲花,10960,2001年建成,1栋,70户,无开发商,0.6元/平米/月,业主自筹物业,板楼,(锦江莲花)工农院街91号
0,1611046404936,http://cd.lianjia.com/xiaoqu/1611046404936,大田坎街95号,成都,锦江,水碾河,11119,1995年建成,3栋,148户,无开发商,0.8元/平米/月,业主自筹物业,板楼,(锦江水碾河)大田坎街95号
0,1617223828124342,http://cd.lianjia.com/xiaoqu/1617223828124342,东四街147号,成都,锦江,九眼桥,11308,1997年建成,3栋,126户,暂无信息,0.3元/平米/月,暂无信息,塔楼/板楼,(锦江九眼桥)东四街147号
0,1611452337107774,http://cd.lianjia.com/xiaoqu/1611452337107774,较场坝中街34号,成都,锦江,合江亭,11406,暂无信息,2栋,44户,暂无信息,暂无信息,暂无信息,板楼,(锦江合江亭)较场坝中街34号
0,1611060757073,http://cd.lianjia.com/xiaoqu/1611060757073,东较场116号,成都,锦江,红星路,11686,1991年建成,1栋,84户,暂无信息,暂无信息,小区物管处,未知类型,(锦江红星路)东较场116号
0,3011052453008,http://cd.lianjia.com/xiaoqu/3011052453008,点将台西二巷9号,成都,锦江,合江亭,11562,暂无信息,1栋,84户,暂无信息,暂无信息,暂无信息,塔板结合,(锦江合江亭)点将台西二巷9号
0,1615028924461357,http://cd.lianjia.com/xiaoqu/1615028924461357,宏济上路56号院,成都,锦江,九眼桥,11642,暂无信息,1栋,12户,暂无信息,0.3元/平米/月,暂无信息,板楼,(锦江九眼桥)宏济上路56号
0,1611059797273,http://cd.lianjia.com/xiaoqu/1611059797273,东较场街119号,成都,锦江,红星路,11554,1993年建成,1栋,112户,暂无信息,0.2元/平米/月,小区物管处,板楼,(锦江红星路)东较场街119号
0,169733794180866,http://cd.lianjia.com/xiaoqu/169733794180866,磨房街30号,成都,锦江,合江亭,11858,暂无信息,1栋,84户,暂无信息,暂无信息,暂无信息,板楼,(锦江合江亭)磨房街30号
0,3011053817188,http://cd.lianjia.com/xiaoqu/3011053817188,西沟头巷,成都,锦江,盐市口,12146,暂无信息,2栋,91户,暂无信息,暂无信息,暂无信息,未知类型,(锦江盐市口)西沟头巷30号
0,3011055022705,http://cd.lianjia.com/xiaoqu/3011055022705,河滨东苑,成都,锦江,三官堂,12231,暂无信息,7栋,356户,暂无信息,暂无信息,暂无信息,板楼/塔板结合,(锦江三官堂)二环路东五段10号
0,1611863106794348,http://cd.lianjia.com/xiaoqu/1611863106794348,东安南路41号,成都,锦江,红星路,12075,暂无信息,1栋,10户,暂无信息,暂无信息,暂无信息,板楼,(锦江红星路)东安南路41号
0,1611062438869,http://cd.lianjia.com/xiaoqu/1611062438869,梓潼桥西街16号,成都,锦江,盐市口,12345,2000年建成,1栋,70户,暂无信息,0.8元/平米/月,暂无信息,板楼,(锦江盐市口)梓潼桥西街16号
0,1615778616216774,http://cd.lianjia.com/xiaoqu/1615778616216774,三圣街33号,成都,锦江,合江亭,11842,暂无信息,1栋,42户,暂无信息,暂无信息,暂无信息,板楼,(锦江合江亭)三圣街33号
0,1614873923695193,http://cd.lianjia.com/xiaoqu/1614873923695193,和平街14号,成都,锦江,盐市口,12153,暂无信息,1栋,91户,暂无信息,暂无信息,暂无信息,未知类型,(锦江盐市口)和平街14号
0,1614466120428801,http://cd.lianjia.com/xiaoqu/1614466120428801,东升街18号,成都,锦江,合江亭,13887,暂无信息,1栋,87户,暂无信息,暂无信息,暂无信息,板楼,(锦江合江亭)东升街18号
0,1611061830184,http://cd.lianjia.com/xiaoqu/1611061830184,下莲池街7号,成都,锦江,合江亭,13873,1992年建成,1栋,70户,暂无信息,0.5元/平米/月,暂无信息,塔楼,(锦江合江亭)下莲池街7号
